epoch,itr,loss,loss-jepa,reg-loss,enc-grad-norm,pred-grad-norm,gpu-time(ms),wall-time(ms)
1,0,0.86940,0.86940,0.82812,0.00000,0.00000,1885,22231
1,1,0.65744,0.65744,0.90625,0.00000,0.00000,768,794
1,2,0.55757,0.55757,0.92969,0.00000,0.00000,786,4692
1,3,0.50947,0.50947,0.93750,0.00000,0.00000,766,792
1,4,0.47670,0.47670,0.94531,0.00000,0.00000,773,3306
1,5,0.44620,0.44620,0.94922,0.00000,0.00000,770,796
1,6,0.42753,0.42753,0.95312,0.00000,0.00000,847,2098
1,7,0.41967,0.41967,0.95312,0.00000,0.00000,899,925
1,8,0.39586,0.39586,0.95312,0.00000,0.00000,1050,1918
1,9,0.39280,0.39280,0.95312,0.00000,0.00000,763,789
1,10,0.37468,0.37468,0.95312,0.00000,0.00000,968,1791
1,11,0.37774,0.37774,0.95312,0.00000,0.00000,856,881
1,12,0.36777,0.36777,0.94922,0.00000,0.00000,1280,3233
1,13,0.34954,0.34954,0.94922,0.00000,0.00000,778,803
1,14,0.36001,0.36001,0.94531,0.00000,0.00000,1080,1515
1,15,0.34913,0.34913,0.93750,0.00000,0.00000,783,808
1,16,0.35141,0.35141,0.92969,0.00000,0.00000,1029,1677
1,17,0.35655,0.35655,0.91797,0.00000,0.00000,817,842
1,18,0.32852,0.32852,0.89844,0.00000,0.00000,813,1569
1,19,0.32347,0.32347,0.86719,0.00000,0.00000,751,776
1,20,0.31225,0.31225,0.83203,0.00000,0.00000,693,2158
1,21,0.31663,0.31663,0.80859,0.00000,0.00000,772,798
1,22,0.30923,0.30923,0.75000,0.00000,0.00000,756,2393
1,23,0.31683,0.31683,0.82031,0.00000,0.00000,795,821
1,24,0.29471,0.29471,0.81250,0.00000,0.00000,734,1573
1,25,0.29727,0.29727,0.75000,0.00000,0.00000,777,803
1,26,0.27552,0.27552,0.78516,0.00000,0.00000,897,1763
1,27,0.29085,0.29085,0.80078,0.00000,0.00000,2128,2154
1,28,0.27446,0.27446,0.78125,0.00000,0.00000,798,2137
1,29,0.29097,0.29097,0.74609,0.00000,0.00000,1246,1272
1,30,0.27401,0.27401,0.75391,0.00000,0.00000,721,2748
1,31,0.25451,0.25451,0.77344,0.00000,0.00000,1159,1185
1,32,0.24591,0.24591,0.77344,0.00000,0.00000,804,1625
1,33,0.24132,0.24132,0.75781,0.00000,0.00000,1304,1329
1,34,0.25292,0.25292,0.73828,0.00000,0.00000,765,1228
1,35,0.24148,0.24148,0.73828,0.00000,0.00000,1293,1318
1,36,0.25077,0.25077,0.75000,0.00000,0.00000,711,1610
1,37,0.22325,0.22325,0.74219,0.00000,0.00000,1300,1326
1,38,0.23709,0.23709,0.72656,0.00000,0.00000,730,1414
1,39,0.21417,0.21417,0.72266,0.00000,0.00000,1252,1278
1,40,0.22211,0.22211,0.73438,0.00000,0.00000,910,1787
1,41,0.20019,0.20019,0.73438,0.00000,0.00000,949,975
1,42,0.21029,0.21029,0.72266,0.00000,0.00000,770,3195
1,43,0.19336,0.19336,0.71875,0.00000,0.00000,1021,1047
1,44,0.21156,0.21156,0.72266,0.00000,0.00000,768,1839
1,45,0.21666,0.21666,0.72266,0.00000,0.00000,770,796
1,46,0.19726,0.19726,0.71484,0.00000,0.00000,774,2091
1,47,0.17588,0.17588,0.71484,0.00000,0.00000,754,779
1,48,0.20078,0.20078,0.72266,0.00000,0.00000,835,1801
1,49,0.18620,0.18620,0.71484,0.00000,0.00000,795,821
1,50,0.17872,0.17872,0.71094,0.00000,0.00000,738,2442
1,51,0.18983,0.18983,0.71875,0.00000,0.00000,803,829
1,52,0.16493,0.16493,0.71484,0.00000,0.00000,681,2417
1,53,0.17672,0.17672,0.71094,0.00000,0.00000,739,765
1,54,0.17665,0.17665,0.71875,0.00000,0.00000,731,2623
1,55,0.17529,0.17529,0.71484,0.00000,0.00000,1620,1646
1,56,0.17394,0.17394,0.71484,0.00000,0.00000,720,1528
1,57,0.17255,0.17255,0.71875,0.00000,0.00000,1344,1370
1,58,0.16303,0.16303,0.71094,0.00000,0.00000,783,1598
1,59,0.14845,0.14845,0.71875,0.00000,0.00000,1885,1911
1,60,0.16920,0.16920,0.71875,0.00000,0.00000,742,2727
1,61,0.16250,0.16250,0.71094,0.00000,0.00000,2321,2347
1,62,0.16144,0.16144,0.72266,0.00000,0.00000,769,1516
1,63,0.14760,0.14760,0.71094,0.00000,0.00000,1289,1315
1,64,0.15876,0.15876,0.72656,0.00000,0.00000,781,1663
1,65,0.16508,0.16508,0.71094,0.00000,0.00000,879,905
1,66,0.15837,0.15837,0.72656,0.00000,0.00000,726,1821
1,67,0.17148,0.17148,0.71875,0.00000,0.00000,765,791
1,68,0.15065,0.15065,0.71484,0.00000,0.00000,765,2221
1,69,0.14838,0.14838,0.73047,0.00000,0.00000,791,817
1,70,0.16080,0.16080,0.71875,0.00000,0.00000,771,2158
1,71,0.16142,0.16142,0.72656,0.00000,0.00000,762,787
1,72,0.14726,0.14726,0.73047,0.00000,0.00000,718,2114
1,73,0.16217,0.16217,0.72266,0.00000,0.00000,745,770
1,74,0.15482,0.15482,0.73438,0.00000,0.00000,710,1886
1,75,0.15818,0.15818,0.72656,0.00000,0.00000,797,823
1,76,0.14574,0.14574,0.72656,0.00000,0.00000,765,2020
1,77,0.15185,0.15185,0.72656,0.00000,0.00000,911,937
1,78,0.15938,0.15938,0.73047,0.00000,0.00000,741,1848
1,79,0.14050,0.14050,0.72656,0.00000,0.00000,800,826
1,80,0.13610,0.13610,0.73438,0.00000,0.00000,789,1834
1,81,0.14872,0.14872,0.73047,0.00000,0.00000,758,784
1,82,0.15191,0.15191,0.73828,0.00000,0.00000,713,2167
1,83,0.16235,0.16235,0.73438,0.00000,0.00000,788,814
1,84,0.13980,0.13980,0.73828,0.00000,0.00000,760,1996
1,85,0.15470,0.15470,0.73828,0.00000,0.00000,769,794
1,86,0.13497,0.13497,0.73828,0.00000,0.00000,763,1811
1,87,0.13622,0.13622,0.74219,0.00000,0.00000,752,778
1,88,0.15742,0.15742,0.74219,0.00000,0.00000,733,2128
1,89,0.13787,0.13787,0.74609,0.00000,0.00000,778,803
1,90,0.13369,0.13369,0.74219,0.00000,0.00000,773,1856
1,91,0.15299,0.15299,0.74609,0.00000,0.00000,801,827
1,92,0.14447,0.14447,0.74219,0.00000,0.00000,787,2087
1,93,0.13585,0.13585,0.74609,0.00000,0.00000,774,800
1,94,0.13591,0.13591,0.74609,0.00000,0.00000,771,1915
1,95,0.13949,0.13949,0.75000,0.00000,0.00000,789,814
1,96,0.12510,0.12510,0.75000,0.00000,0.00000,758,1536
1,97,0.12561,0.12561,0.75000,0.00000,0.00000,775,801
1,98,0.14458,0.14458,0.74609,0.00000,0.00000,773,1828
1,99,0.13381,0.13381,0.75391,0.00000,0.00000,796,822
1,100,0.13674,0.13674,0.75000,0.00000,0.00000,789,1980
1,101,0.14903,0.14903,0.75781,0.00000,0.00000,742,767
1,102,0.11802,0.11802,0.75000,0.00000,0.00000,756,2088
1,103,0.11927,0.11927,0.75781,0.00000,0.00000,778,803
1,104,0.14325,0.14325,0.75781,0.00000,0.00000,760,2276
1,105,0.13573,0.13573,0.75781,0.00000,0.00000,771,797
1,106,0.13520,0.13520,0.75781,0.00000,0.00000,770,2164
1,107,0.13159,0.13159,0.75781,0.00000,0.00000,830,856
1,108,0.13160,0.13160,0.75781,0.00000,0.00000,791,1855
1,109,0.12880,0.12880,0.76172,0.00000,0.00000,750,776
1,110,0.14280,0.14280,0.76562,0.00000,0.00000,785,2137
1,111,0.13867,0.13867,0.75781,0.00000,0.00000,793,819
1,112,0.13075,0.13075,0.76562,0.00000,0.00000,729,2039
1,113,0.13328,0.13328,0.76172,0.00000,0.00000,837,862
1,114,0.13156,0.13156,0.76172,0.00000,0.00000,802,1983
1,115,0.12955,0.12955,0.76953,0.00000,0.00000,811,837
1,116,0.13522,0.13522,0.76562,0.00000,0.00000,717,1846
1,117,0.12417,0.12417,0.76953,0.00000,0.00000,1023,1049
1,118,0.13498,0.13498,0.76953,0.00000,0.00000,765,1968
1,119,0.14405,0.14405,0.77734,0.00000,0.00000,776,801
1,120,0.10483,0.10483,0.76953,0.00000,0.00000,735,2476
1,121,0.13260,0.13260,0.77734,0.00000,0.00000,980,1005
1,122,0.12548,0.12548,0.76953,0.00000,0.00000,806,2239
1,123,0.15793,0.15793,0.77734,0.00000,0.00000,849,874
1,124,0.11074,0.11074,0.77344,0.00000,0.00000,747,2635
1,125,0.14082,0.14082,0.77734,0.00000,0.00000,1488,1513
1,126,0.14904,0.14904,0.78125,0.00000,0.00000,705,2259
1,127,0.13433,0.13433,0.77734,0.00000,0.00000,876,902
1,128,0.13078,0.13078,0.77734,0.00000,0.00000,730,1598
1,129,0.12071,0.12071,0.78516,0.00000,0.00000,1234,1260
1,130,0.10698,0.10698,0.77734,0.00000,0.00000,771,2061
1,131,0.11715,0.11715,0.78516,0.00000,0.00000,991,1016
1,132,0.13518,0.13518,0.78125,0.00000,0.00000,767,1889
1,133,0.12940,0.12940,0.78516,0.00000,0.00000,1021,1047
1,134,0.13249,0.13249,0.78906,0.00000,0.00000,737,1938
1,135,0.12292,0.12292,0.78516,0.00000,0.00000,778,804
1,136,0.12655,0.12655,0.78906,0.00000,0.00000,683,2108
1,137,0.13670,0.13670,0.78516,0.00000,0.00000,823,849
1,138,0.12017,0.12017,0.78516,0.00000,0.00000,752,1804
1,139,0.12856,0.12856,0.79297,0.00000,0.00000,1115,1140
1,140,0.10603,0.10603,0.78906,0.00000,0.00000,743,1520
1,141,0.11981,0.11981,0.78906,0.00000,0.00000,792,818
1,142,0.12656,0.12656,0.79297,0.00000,0.00000,713,2719
1,143,0.12517,0.12517,0.79297,0.00000,0.00000,805,831
1,144,0.14425,0.14425,0.78906,0.00000,0.00000,721,1839
1,145,0.11498,0.11498,0.79688,0.00000,0.00000,837,862
1,146,0.12081,0.12081,0.79688,0.00000,0.00000,726,2125
