epoch,itr,loss,loss-jepa,reg-loss,enc-grad-norm,pred-grad-norm,gpu-time(ms),wall-time(ms)
1,0,0.87028,0.87028,0.82812,0.00000,0.00000,2662,4525
1,1,0.65666,0.65666,0.90625,0.00000,0.00000,777,803
1,2,0.55909,0.55909,0.92969,0.00000,0.00000,789,815
1,3,0.50723,0.50723,0.93750,0.00000,0.00000,770,796
1,4,0.47032,0.47032,0.94531,0.00000,0.00000,776,802
1,5,0.44716,0.44716,0.94922,0.00000,0.00000,765,791
1,6,0.42534,0.42534,0.95312,0.00000,0.00000,747,772
1,7,0.41866,0.41866,0.95312,0.00000,0.00000,719,745
1,8,0.40839,0.40839,0.95312,0.00000,0.00000,745,771
1,9,0.38745,0.38745,0.95312,0.00000,0.00000,739,765
epoch,itr,loss,loss-jepa,reg-loss,enc-grad-norm,pred-grad-norm,gpu-time(ms),wall-time(ms)
16,0,0.35481,0.35481,0.48047,0.00000,0.00000,2764,4506
16,1,0.31728,0.31728,0.47656,0.00000,0.00000,771,797
16,2,0.33566,0.33566,0.48047,0.00000,0.00000,780,806
16,3,0.34050,0.34050,0.48828,0.00000,0.00000,757,783
16,4,0.32334,0.32334,0.48242,0.00000,0.00000,749,775
epoch,itr,loss,loss-jepa,reg-loss,enc-grad-norm,pred-grad-norm,gpu-time(ms),wall-time(ms)
16,0,0.33911,0.33911,0.47461,0.00000,0.00000,2772,5350
16,1,0.31679,0.31679,0.47461,0.00000,0.00000,777,803
16,2,0.34728,0.34728,0.48438,0.00000,0.00000,813,839
16,3,0.31770,0.31770,0.48242,0.00000,0.00000,792,817
16,4,0.30502,0.30502,0.47852,0.00000,0.00000,787,813
16,5,0.36245,0.36245,0.50000,0.00000,0.00000,767,793
16,6,0.31364,0.31364,0.48047,0.00000,0.00000,772,798
16,7,0.33498,0.33498,0.47070,0.00000,0.00000,756,782
16,8,0.35686,0.35686,0.47461,0.00000,0.00000,794,820
16,9,0.33701,0.33701,0.48242,0.00000,0.00000,854,879
16,10,0.37027,0.37027,0.49609,0.00000,0.00000,738,764
