epoch,itr,loss,loss-jepa,reg-loss,enc-grad-norm,pred-grad-norm,gpu-time(ms),wall-time(ms)
1,0,0.86966,0.86966,0.82812,0.00000,0.00000,2060,22243
1,1,0.65407,0.65407,0.90625,0.00000,0.00000,769,795
1,2,0.55668,0.55668,0.92969,0.00000,0.00000,1259,4691
1,3,0.50376,0.50376,0.94141,0.00000,0.00000,767,792
1,4,0.47192,0.47192,0.94531,0.00000,0.00000,996,3303
1,5,0.45144,0.45144,0.94922,0.00000,0.00000,757,796
1,6,0.44174,0.44174,0.95312,0.00000,0.00000,778,2097
1,7,0.41059,0.41059,0.95312,0.00000,0.00000,898,923
1,8,0.39427,0.39427,0.95312,0.00000,0.00000,1185,1918
1,9,0.39487,0.39487,0.95312,0.00000,0.00000,763,789
1,10,0.38250,0.38250,0.95312,0.00000,0.00000,1101,1792
1,11,0.36499,0.36499,0.95312,0.00000,0.00000,855,880
1,12,0.36139,0.36139,0.95312,0.00000,0.00000,1481,3233
1,13,0.35620,0.35620,0.94922,0.00000,0.00000,780,805
1,14,0.35557,0.35557,0.94531,0.00000,0.00000,1489,1514
1,15,0.35710,0.35710,0.94141,0.00000,0.00000,778,804
1,16,0.33824,0.33824,0.92969,0.00000,0.00000,1569,1676
1,17,0.34217,0.34217,0.91797,0.00000,0.00000,815,841
1,18,0.32263,0.32263,0.89844,0.00000,0.00000,1543,1568
1,19,0.32553,0.32553,0.86719,0.00000,0.00000,748,774
1,20,0.31110,0.31110,0.82812,0.00000,0.00000,1317,2157
1,21,0.30287,0.30287,0.80859,0.00000,0.00000,771,797
1,22,0.30670,0.30670,0.75781,0.00000,0.00000,1449,2391
1,23,0.31521,0.31521,0.82031,0.00000,0.00000,794,820
1,24,0.29334,0.29334,0.81250,0.00000,0.00000,1212,1569
1,25,0.31250,0.31250,0.75000,0.00000,0.00000,776,802
1,26,0.28984,0.28984,0.78516,0.00000,0.00000,1287,1761
1,27,0.28334,0.28334,0.80078,0.00000,0.00000,2128,2154
1,28,0.25706,0.25706,0.78125,0.00000,0.00000,2109,2135
1,29,0.27104,0.27104,0.74609,0.00000,0.00000,1245,1271
1,30,0.25707,0.25707,0.75000,0.00000,0.00000,2720,2746
1,31,0.25890,0.25890,0.77344,0.00000,0.00000,1159,1185
1,32,0.26072,0.26072,0.77344,0.00000,0.00000,1599,1624
1,33,0.23657,0.23657,0.75781,0.00000,0.00000,1305,1330
1,34,0.23566,0.23566,0.73828,0.00000,0.00000,1201,1227
1,35,0.23951,0.23951,0.73828,0.00000,0.00000,1292,1317
1,36,0.22851,0.22851,0.75000,0.00000,0.00000,1583,1609
1,37,0.22959,0.22959,0.74609,0.00000,0.00000,1300,1325
1,38,0.22470,0.22470,0.72656,0.00000,0.00000,1389,1414
1,39,0.22556,0.22556,0.72266,0.00000,0.00000,1418,1444
1,40,0.20345,0.20345,0.73438,0.00000,0.00000,1761,1787
1,41,0.20412,0.20412,0.73438,0.00000,0.00000,949,975
1,42,0.19477,0.19477,0.72266,0.00000,0.00000,3172,3197
1,43,0.23418,0.23418,0.71484,0.00000,0.00000,1023,1049
1,44,0.20528,0.20528,0.72266,0.00000,0.00000,1813,1838
1,45,0.19780,0.19780,0.72266,0.00000,0.00000,771,797
1,46,0.20245,0.20245,0.71484,0.00000,0.00000,2065,2090
1,47,0.21234,0.21234,0.71484,0.00000,0.00000,753,779
1,48,0.18040,0.18040,0.72266,0.00000,0.00000,1774,1799
1,49,0.17817,0.17817,0.71875,0.00000,0.00000,794,820
1,50,0.17777,0.17777,0.71094,0.00000,0.00000,2107,2444
1,51,0.17176,0.17176,0.71875,0.00000,0.00000,802,827
1,52,0.18624,0.18624,0.71484,0.00000,0.00000,2389,2414
1,53,0.18190,0.18190,0.71094,0.00000,0.00000,739,765
1,54,0.16493,0.16493,0.71484,0.00000,0.00000,2597,2623
1,55,0.17574,0.17574,0.71484,0.00000,0.00000,1620,1645
1,56,0.18695,0.18695,0.71484,0.00000,0.00000,1501,1527
1,57,0.17300,0.17300,0.71875,0.00000,0.00000,1341,1367
1,58,0.18101,0.18101,0.71484,0.00000,0.00000,1573,1598
1,59,0.14870,0.14870,0.71875,0.00000,0.00000,1885,1911
1,60,0.16062,0.16062,0.71484,0.00000,0.00000,2701,2726
1,61,0.16417,0.16417,0.71484,0.00000,0.00000,2323,2349
1,62,0.14493,0.14493,0.72266,0.00000,0.00000,1489,1514
1,63,0.15243,0.15243,0.71094,0.00000,0.00000,1289,1314
1,64,0.14873,0.14873,0.73047,0.00000,0.00000,1637,1663
1,65,0.15745,0.15745,0.71094,0.00000,0.00000,877,903
1,66,0.15633,0.15633,0.72656,0.00000,0.00000,1792,1817
1,67,0.15658,0.15658,0.71875,0.00000,0.00000,760,785
1,68,0.16407,0.16407,0.71484,0.00000,0.00000,2194,2219
1,69,0.14468,0.14468,0.72656,0.00000,0.00000,785,811
1,70,0.16553,0.16553,0.72266,0.00000,0.00000,2129,2154
1,71,0.15693,0.15693,0.72656,0.00000,0.00000,761,787
1,72,0.16903,0.16903,0.73047,0.00000,0.00000,2088,2114
1,73,0.15379,0.15379,0.72266,0.00000,0.00000,744,770
1,74,0.11659,0.11659,0.73047,0.00000,0.00000,1860,1885
1,75,0.16176,0.16176,0.72656,0.00000,0.00000,795,821
1,76,0.14422,0.14422,0.72656,0.00000,0.00000,1987,2012
1,77,0.16273,0.16273,0.72656,0.00000,0.00000,911,937
1,78,0.13822,0.13822,0.73047,0.00000,0.00000,1824,1849
1,79,0.15683,0.15683,0.72656,0.00000,0.00000,799,825
1,80,0.14350,0.14350,0.74219,0.00000,0.00000,1807,1832
1,81,0.15605,0.15605,0.73047,0.00000,0.00000,759,785
1,82,0.14517,0.14517,0.73438,0.00000,0.00000,2141,2166
1,83,0.13892,0.13892,0.73047,0.00000,0.00000,791,816
1,84,0.14370,0.14370,0.73828,0.00000,0.00000,1969,1994
1,85,0.13904,0.13904,0.73828,0.00000,0.00000,769,795
1,86,0.14810,0.14810,0.74219,0.00000,0.00000,1786,1811
1,87,0.14275,0.14275,0.73828,0.00000,0.00000,752,777
1,88,0.13312,0.13312,0.73828,0.00000,0.00000,2102,2128
1,89,0.13657,0.13657,0.74219,0.00000,0.00000,777,803
1,90,0.12663,0.12663,0.74219,0.00000,0.00000,1829,1855
1,91,0.13733,0.13733,0.74609,0.00000,0.00000,799,825
1,92,0.13183,0.13183,0.74219,0.00000,0.00000,2061,2086
